id_circuns,id_diputado,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
circuns_4,circuns_4_17,PVEM,-98.571403,18.209448,1.002392412,153,-0.893138179,0.455076632,-99.46454118,18.66452463
circuns_4,circuns_4_18,PVEM,-98.571403,18.209448,0.80191393,162,-0.762665469,0.247805032,-99.33406847,18.45725303
circuns_4,circuns_4_19,MC,-98.571403,18.209448,0.601435447,171,-0.594030779,0.094085232,-99.16543378,18.30353323
circuns_4,circuns_4_20,MC,-98.571403,18.209448,0.400956965,180,-0.400956965,4.91E-17,-98.97235996,18.209448
circuns_4,circuns_4_21,MC,-98.571403,18.209448,1.002392412,189,-0.990051299,-0.156808721,-99.5614543,18.05263928
circuns_4,circuns_4_22,MC,-98.571403,18.209448,0.80191393,198,-0.762665469,-0.247805032,-99.33406847,17.96164297
circuns_4,circuns_4_23,MORENA,-98.571403,18.209448,0.601435447,207,-0.535882908,-0.273045979,-99.10728591,17.93640202
circuns_4,circuns_4_24,MORENA,-98.571403,18.209448,0.400956965,216,-0.324380999,-0.235676591,-98.895784,17.97377141
circuns_4,circuns_4_25,MORENA,-98.571403,18.209448,1.002392412,225,-0.708798472,-0.708798472,-99.28020147,17.50064953
circuns_4,circuns_4_26,MORENA,-98.571403,18.209448,0.80191393,234,-0.471353182,-0.648761997,-99.04275618,17.560686
circuns_4,circuns_4_27,MORENA,-98.571403,18.209448,0.601435447,243,-0.273045979,-0.535882908,-98.84444898,17.67356509
circuns_4,circuns_4_28,MORENA,-98.571403,18.209448,0.400956965,252,-0.123902516,-0.381332734,-98.69530552,17.82811527
circuns_4,circuns_4_29,MORENA,-98.571403,18.209448,1.002392412,261,-0.156808721,-0.990051299,-98.72821172,17.2193967
circuns_4,circuns_4_30,MORENA,-98.571403,18.209448,0.80191393,270,-1.47E-16,-0.80191393,-98.571403,17.40753407
circuns_4,circuns_4_31,MORENA,-98.571403,18.209448,0.601435447,279,0.094085232,-0.594030779,-98.47731777,17.61541722
circuns_4,circuns_4_32,MORENA,-98.571403,18.209448,0.400956965,288,0.123902516,-0.381332734,-98.44750048,17.82811527
circuns_4,circuns_4_33,MORENA,-98.571403,18.209448,1.002392412,297,0.455076632,-0.893138179,-98.11632637,17.31630982
circuns_4,circuns_4_34,MORENA,-98.571403,18.209448,0.80191393,306,0.471353182,-0.648761997,-98.10004982,17.560686
circuns_4,circuns_4_35,MORENA,-98.571403,18.209448,0.601435447,315,0.425279083,-0.425279083,-98.14612392,17.78416892
circuns_4,circuns_4_36,MORENA,-98.571403,18.209448,0.400956965,324,0.324380999,-0.235676591,-98.247022,17.97377141
circuns_4,circuns_4_37,MORENA,-98.571403,18.209448,1.002392412,333,0.893138179,-0.455076632,-97.67826482,17.75437137
circuns_4,circuns_4_38,MORENA,-98.571403,18.209448,0.80191393,342,0.762665469,-0.247805032,-97.80873753,17.96164297
circuns_4,circuns_4_39,MORENA,-98.571403,18.209448,0.601435447,351,0.594030779,-0.094085232,-97.97737222,18.11536277
circuns_4,circuns_4_40,MORENA,-98.571403,18.209448,0.400956965,360,0.400956965,-9.82E-17,-98.17044604,18.209448
circuns_5,circuns_5_1,PAN,-101.696682,19.148939,1.034838006,9,1.022097433,0.16188433,-100.6745846,19.31082333
circuns_5,circuns_5_2,PAN,-101.696682,19.148939,0.827870405,18,0.787351543,0.255826024,-100.9093305,19.40476502
circuns_5,circuns_5_3,PAN,-101.696682,19.148939,0.620902804,27,0.553228449,0.281883974,-101.1434536,19.43082297
circuns_5,circuns_5_4,PAN,-101.696682,19.148939,0.413935203,36,0.334880613,0.243305007,-101.3618014,19.39224401
circuns_5,circuns_5_5,PAN,-101.696682,19.148939,1.034838006,45,0.731740972,0.731740972,-100.964941,19.88067997
circuns_5,circuns_5_6,PAN,-101.696682,19.148939,0.827870405,54,0.486610015,0.669761227,-101.210072,19.81870023
circuns_5,circuns_5_7,PAN,-101.696682,19.148939,0.620902804,63,0.281883974,0.553228449,-101.414798,19.70216745
circuns_5,circuns_5_8,PRI,-101.696682,19.148939,0.413935203,72,0.127913012,0.393675772,-101.568769,19.54261477
circuns_5,circuns_5_9,PRI,-101.696682,19.148939,1.034838006,81,0.16188433,1.022097433,-101.5347977,20.17103643
circuns_5,circuns_5_10,PRI,-101.696682,19.148939,0.827870405,90,5.07E-17,0.827870405,-101.696682,19.97680941
circuns_5,circuns_5_11,PRI,-101.696682,19.148939,0.620902804,99,-0.097130598,0.61325846,-101.7938126,19.76219746
circuns_5,circuns_5_12,PRI,-101.696682,19.148939,0.413935203,108,-0.127913012,0.393675772,-101.824595,19.54261477
circuns_5,circuns_5_13,PRI,-101.696682,19.148939,1.034838006,117,-0.469806624,0.922047415,-102.1664886,20.07098642
circuns_5,circuns_5_14,PRI,-101.696682,19.148939,0.827870405,126,-0.486610015,0.669761227,-102.183292,19.81870023
circuns_5,circuns_5_15,PT,-101.696682,19.148939,0.620902804,135,-0.439044583,0.439044583,-102.1357266,19.58798358
circuns_5,circuns_5_16,PT,-101.696682,19.148939,0.413935203,144,-0.334880613,0.243305007,-102.0315626,19.39224401
circuns_5,circuns_5_17,PVEM,-101.696682,19.148939,1.034838006,153,-0.922047415,0.469806624,-102.6187294,19.61874562
circuns_5,circuns_5_18,PVEM,-101.696682,19.148939,0.827870405,162,-0.787351543,0.255826024,-102.4840335,19.40476502
circuns_5,circuns_5_19,PVEM,-101.696682,19.148939,0.620902804,171,-0.61325846,0.097130598,-102.3099405,19.2460696
circuns_5,circuns_5_20,PVEM,-101.696682,19.148939,0.413935203,180,-0.413935203,5.07E-17,-102.1106172,19.148939
circuns_5,circuns_5_21,MC,-101.696682,19.148939,1.034838006,189,-1.022097433,-0.16188433,-102.7187794,18.98705467
circuns_5,circuns_5_22,MC,-101.696682,19.148939,0.827870405,198,-0.787351543,-0.255826024,-102.4840335,18.89311298
circuns_5,circuns_5_23,MC,-101.696682,19.148939,0.620902804,207,-0.553228449,-0.281883974,-102.2499104,18.86705503
circuns_5,circuns_5_24,MC,-101.696682,19.148939,0.413935203,216,-0.334880613,-0.243305007,-102.0315626,18.90563399
circuns_5,circuns_5_25,MC,-101.696682,19.148939,1.034838006,225,-0.731740972,-0.731740972,-102.428423,18.41719803
circuns_5,circuns_5_26,MORENA,-101.696682,19.148939,0.827870405,234,-0.486610015,-0.669761227,-102.183292,18.47917777
circuns_5,circuns_5_27,MORENA,-101.696682,19.148939,0.620902804,243,-0.281883974,-0.553228449,-101.978566,18.59571055
circuns_5,circuns_5_28,MORENA,-101.696682,19.148939,0.413935203,252,-0.127913012,-0.393675772,-101.824595,18.75526323
circuns_5,circuns_5_29,MORENA,-101.696682,19.148939,1.034838006,261,-0.16188433,-1.022097433,-101.8585663,18.12684157
circuns_5,circuns_5_30,MORENA,-101.696682,19.148939,0.827870405,270,-1.52E-16,-0.827870405,-101.696682,18.32106859
circuns_5,circuns_5_31,MORENA,-101.696682,19.148939,0.620902804,279,0.097130598,-0.61325846,-101.5995514,18.53568054
circuns_5,circuns_5_32,MORENA,-101.696682,19.148939,0.413935203,288,0.127913012,-0.393675772,-101.568769,18.75526323
circuns_5,circuns_5_33,MORENA,-101.696682,19.148939,1.034838006,297,0.469806624,-0.922047415,-101.2268754,18.22689158
circuns_5,circuns_5_34,MORENA,-101.696682,19.148939,0.827870405,306,0.486610015,-0.669761227,-101.210072,18.47917777
circuns_5,circuns_5_35,MORENA,-101.696682,19.148939,0.620902804,315,0.439044583,-0.439044583,-101.2576374,18.70989442
circuns_5,circuns_5_36,MORENA,-101.696682,19.148939,0.413935203,324,0.334880613,-0.243305007,-101.3618014,18.90563399
circuns_5,circuns_5_37,MORENA,-101.696682,19.148939,1.034838006,333,0.922047415,-0.469806624,-100.7746346,18.67913238
circuns_5,circuns_5_38,MORENA,-101.696682,19.148939,0.827870405,342,0.787351543,-0.255826024,-100.9093305,18.89311298
circuns_5,circuns_5_39,MORENA,-101.696682,19.148939,0.620902804,351,0.61325846,-0.097130598,-101.0834235,19.0518084
circuns_5,circuns_5_40,MORENA,-101.696682,19.148939,0.413935203,360,0.413935203,-1.01E-16,-101.2827468,19.148939
